University,Year,Total
OH,2012,43058
OH,2011,42916
TX,2012,42011
TX,2011,39867
UI,2012,32281
UI,2011,32256
PE,2012,39192
PE,2011,38954
MI,2012,27979
MI,2011,27407
UW,2012,30301
UW,2011,30014
PU,2012,31284
PU,2011,31988
LA,2012,27941
LA,2011,27199
CB,2012,25774
CB,2011,25885
GE,2012,14527
GE,2011,13948
